matterport,source.type,year_built,baths_3qtr,Sold_Price,baths_half,lot_sqft,sqft,baths,sub_type,garage,stories,beds,type,lead_attributes.show_contact_an_agent,is_foreclosure,is_new_listing,products.brand_name,state,coordinate.lon,coordinate.lat,city,state_code,basement,big_lot,big_yard,carport,central_air,central_heat,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,cul_de_sac,dining_room,disability_features,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,groundscare,hardwood_floors,high_ceiling,laundry_room,master_bedroom,modern_kitchen,new_roof,park,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,updated_kitchen,view,views,washer_dryer,same
0,1,-0.0232558139534883,0,120000.0,0,0.3622754491017964,0.1381733021077283,2,2,0,1,3,10,True,False,0,3,0,-0.0732590305848727,-1.2943238142423172,54,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,0.5116279069767442,0,283000.0,0,0.9823685961410512,0.5152224824355972,2,2,2,1,4,10,True,False,0,4,0,-0.0695506271522184,-1.2884838102675744,54,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,True
0,1,0.5116279069767442,0,284500.0,0,1.304224883566201,0.5796252927400468,2,2,0,1,4,10,True,False,0,4,0,-0.0695298176030352,-1.288756374110143,54,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,True
0,1,0.3953488372093023,0,160000.0,0,-0.5071523619427811,-0.180327868852459,2,2,0,1,2,10,True,False,0,4,0,-0.0734406457987896,-1.2803716245294856,54,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,1.162790697674419,0,439900.0,1,-0.5796739853626082,1.6639344262295082,4,2,2,2,4,10,True,False,0,3,0,-0.0683147627093682,-1.2861852118545325,54,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
0,1,-0.0930232558139534,0,68250.0,0,1.811377245508982,1.085480093676815,2,2,0,1,3,10,True,False,0,4,0,-0.0741088804219506,-1.2946124729972857,54,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,True
0,1,0.3488372093023256,0,385000.0,1,3.622754491017964,1.942622950819672,4,2,2,2,4,10,True,False,0,4,0,-0.0688394063800147,-1.2881270980243138,54,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,True
0,1,0.1395348837209302,0,139900.0,0,3.043080505655356,-0.1510538641686182,2,2,0,1,4,10,True,False,0,4,0,-0.072647148828478,-1.2804501746997774,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,-0.627906976744186,0,88500.0,0,-0.2173985362608117,-0.2810304449648712,2,2,1,2,4,10,True,False,0,4,0,-0.0749083519100326,-1.2815836414109498,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,1,-0.0697674418604651,0,145000.0,0,1.5939787092481703,0.5023419203747073,2,2,0,1,3,10,True,False,0,4,0,-0.0722840196636563,-1.282060365718396,54,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
